type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),eos,name,desc
T,2022-01-21 08:36:13,48.289748470,8.854289699,525.7,13.0,0.5,1.825,3.61,,,
T,2022-01-21 08:36:14,48.289789427,8.854286295,525.8,16.4,0.4,1.830,4.56,,,
T,2022-01-21 08:36:15,48.289830084,8.854283914,525.8,16.3,0.4,1.834,4.52,,,
T,2022-01-21 08:36:16,48.289875753,8.854281240,525.8,18.3,0.3,1.839,5.08,,,
T,2022-01-21 08:36:17,48.289922900,8.854278479,525.8,18.9,0.2,1.845,5.25,,,
T,2022-01-21 08:36:18,48.289972182,8.854275593,525.8,19.7,0.2,1.850,5.48,,,
T,2022-01-21 08:36:19,48.290028014,8.854272324,525.8,22.4,0.2,1.856,6.21,,,
T,2022-01-21 08:36:20,48.290085633,8.854268963,525.9,23.1,0.4,1.863,6.41,,,
T,2022-01-21 08:36:21,48.290148108,8.854265317,525.9,25.0,0.9,1.870,6.95,,,
T,2022-01-21 08:36:22,48.290212876,8.854261537,526.0,25.9,1.3,1.877,7.21,,,
T,2022-01-21 08:36:23,48.290281241,8.854241868,526.1,27.9,1.7,1.885,7.74,,,
T,2022-01-21 08:36:24,48.290341291,8.854226000,526.3,24.4,2.4,1.892,6.78,,,
T,2022-01-21 08:36:25,48.290401609,8.854209812,526.5,24.5,2.4,1.898,6.81,,,
T,2022-01-21 08:36:26,48.290464152,8.854193026,526.6,25.4,2.2,1.905,7.07,,,
T,2022-01-21 08:36:27,48.290528495,8.854161876,526.8,27.1,1.9,1.913,7.52,,,
T,2022-01-21 08:36:28,48.290598070,8.854170650,526.9,27.9,1.7,1.921,7.76,,,
T,2022-01-21 08:36:29,48.290666394,8.854152138,527.0,27.8,1.5,1.928,7.72,,,
T,2022-01-21 08:36:30,48.290733991,8.854133823,527.1,27.5,1.6,1.936,7.64,,,
T,2022-01-21 08:36:31,48.290800092,8.854115914,527.3,26.9,1.8,1.944,7.47,,,
T,2022-01-21 08:36:32,48.290864942,8.854098343,527.4,26.4,2.1,1.951,7.33,,,
T,2022-01-21 08:36:33,48.290934642,8.854028472,527.6,33.6,1.8,1.960,9.32,,,
T,2022-01-21 08:36:34,48.290990105,8.853980782,527.7,25.6,2.0,1.967,7.11,,,
T,2022-01-21 08:36:35,48.291040186,8.853919067,527.8,26.0,1.5,1.974,7.21,,,
T,2022-01-21 08:36:36,48.291099496,8.853877393,527.9,26.2,0.9,1.982,7.28,,,
T,2022-01-21 08:36:37,48.291159001,8.853833000,527.9,26.6,0.4,1.989,7.39,,,
T,2022-01-21 08:36:38,48.291220538,8.853783515,528.0,28.0,0.5,1.997,7.77,,,
T,2022-01-21 08:36:39,48.291279148,8.853723414,528.0,28.4,0.6,2.005,7.90,,,
T,2022-01-21 08:36:40,48.291343074,8.853663928,528.1,30.1,0.5,2.013,8.37,,,
T,2022-01-21 08:36:41,48.291407612,8.853602745,528.1,30.6,0.2,2.022,8.49,,,
T,2022-01-21 08:36:42,48.291476661,8.853564879,528.1,29.4,-0.1,2.030,8.18,,,
T,2022-01-21 08:36:43,48.291537588,8.853504974,528.1,29.2,0.3,2.038,8.10,,,
T,2022-01-21 08:36:44,48.291592003,8.853444784,528.1,27.1,0.5,2.045,7.52,,,
T,2022-01-21 08:36:45,48.291645058,8.853386098,528.2,26.4,0.4,2.053,7.33,,,
T,2022-01-21 08:36:46,48.291696421,8.853329285,528.2,25.6,0.1,2.060,7.10,,,
T,2022-01-21 08:36:47,48.291749528,8.853270541,528.2,26.4,0.0,2.067,7.34,,,
T,2022-01-21 08:36:48,48.291784625,8.853178720,528.2,28.3,0.4,2.075,7.85,,,
T,2022-01-21 08:36:49,48.291794480,8.853084131,528.3,25.6,0.6,2.082,7.10,,,
T,2022-01-21 08:36:50,48.291822336,8.853002525,528.3,24.5,0.6,2.089,6.80,,,
T,2022-01-21 08:36:51,48.291833462,8.852928129,528.3,20.4,0.6,2.095,5.66,,,
T,2022-01-21 08:36:52,48.291851943,8.852850808,528.4,21.9,0.8,2.101,6.09,,,
T,2022-01-21 08:36:53,48.291854118,8.852788478,528.5,16.7,1.8,2.105,4.63,,,
T,2022-01-21 08:36:54,48.291864003,8.852720135,528.6,18.7,2.3,2.111,5.19,,,
T,2022-01-21 08:36:55,48.291862501,8.852681227,528.7,10.4,4.6,2.113,2.89,,,
T,2022-01-21 08:36:56,48.291865510,8.852628594,528.8,14.1,3.0,2.117,3.92,,,
T,2022-01-21 08:36:57,48.291868216,8.852581272,528.9,12.7,2.8,2.121,3.52,,,
T,2022-01-21 08:36:58,48.291870276,8.852545246,529.0,9.7,3.2,2.124,2.68,,,
T,2022-01-21 08:37:00,48.291871971,8.852515609,529.2,4.0,6.5,2.126,2.21,,,
T,2022-01-21 08:37:13,48.291872424,8.852507687,529.6,0.2,76.2,2.126,0.59,,,
T,2022-01-21 08:37:14,48.291872471,8.852506850,529.6,0.2,38.3,2.126,0.06,,,
T,2022-01-21 08:37:31,48.291857688,8.852454870,529.9,0.9,5.4,2.131,4.19,,,
T,2022-01-21 08:37:32,48.291853611,8.852404970,529.9,13.4,0.3,2.134,3.73,,,
T,2022-01-21 08:37:33,48.291844716,8.852365554,529.9,11.1,0.4,2.137,3.09,,,
T,2022-01-21 08:37:34,48.291832833,8.852300985,529.9,17.9,0.3,2.142,4.97,,,
T,2022-01-21 08:37:35,48.291820593,8.852234471,529.9,18.4,0.3,2.148,5.12,,,
T,2022-01-21 08:37:36,48.291807637,8.852164072,529.9,19.5,0.2,2.153,5.42,,,
T,2022-01-21 08:37:37,48.291793561,8.852087584,529.9,21.2,0.2,2.159,5.89,,,
T,2022-01-21 08:37:38,48.291843207,8.851972066,529.9,36.7,0.1,2.169,10.20,,,
T,2022-01-21 08:37:39,48.291813918,8.851920178,529.9,18.2,0.2,2.174,5.04,,,
